costCentre,fte,total
661011,14.0,1781914.8900745548
661021,10.0,1772708.9092592495
661031,4.0,503020.24490942265
661041,5.0,1049056.3336796765
661062,16.0,2391964.7809656076
661081,3.0,523748.8571003202
66107A,2.0,430434.0421959098
